interaction,importance
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|ADAM10|TSPAN14,0.0
Tem/Temra cytotoxic T cells|Regulatory T cells|TGFB1|ITGB1,0.0
Regulatory T cells|Regulatory T cells|ARF6|SMAP1,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-DMA|CD4,0.0
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|LGALS9|CD44,0.0
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|PKM|CD44,0.0
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|HLA-DPB1|LAG3,0.0
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|GNAI2|S1PR1,0.0
Tem/Temra cytotoxic T cells|Regulatory T cells|ADAM10|TSPAN5,0.0
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|HLA-E|CD8B,0.0
Tem/Trm cytotoxic T cells|Regulatory T cells|MFNG|NOTCH1,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|SELPLG|ITGAM,0.0
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|LGALS9|SLC1A5,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-B|KLRD1,0.0
Regulatory T cells|Regulatory T cells|ADAM10|TSPAN17,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|PSEN1|NCSTN,0.0
Regulatory T cells|Regulatory T cells|LGALS1|CD69,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|VIM|CD44,0.0
Naive B cells|Naive B cells|GPI|AMFR,0.0
Regulatory T cells|Tem/Temra cytotoxic T cells|HSPA8|ADRB2,0.0
Regulatory T cells|Regulatory T cells|ADAM17|ITGB1,0.0
Regulatory T cells|Tem/Temra cytotoxic T cells|TNF|NOTCH1,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|BSG|SLC16A1,0.0
Naive B cells|Regulatory T cells|CD22|PTPRC,0.0
Naive B cells|Tem/Trm cytotoxic T cells|HLA-E|CD8A,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-G|CD8A,0.0
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|MIF|CD74_CXCR4,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|LRPAP1|LDLR,0.0
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|HLA-E|KLRC2_KLRD1,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|FASLG|TNFRSF10B,0.0
Naive B cells|Naive B cells|VIM|CD44,0.0
Tem/Temra cytotoxic T cells|Regulatory T cells|TNF|TNFRSF1B,0.0
Naive B cells|Tem/Trm cytotoxic T cells|PTDSS1|JMJD6,0.0
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|PSEN1|NOTCH1,0.0
Naive B cells|Regulatory T cells|MIF|CD44_CD74,0.0
Regulatory T cells|Tem/Temra cytotoxic T cells|CD40LG|CD53,0.0
Tem/Trm cytotoxic T cells|Regulatory T cells|CCL3|CCR4,0.0
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|SELPLG|SELL,0.0
Regulatory T cells|Tem/Temra cytotoxic T cells|TNF|FAS,0.0
Tem/Trm cytotoxic T cells|Regulatory T cells|HLA-B|CD3D,0.0
Regulatory T cells|Tem/Trm cytotoxic T cells|ADAM10|CD44,0.0
Regulatory T cells|Tem/Trm cytotoxic T cells|HLA-DQB1|LAG3,0.0
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|VIM|CD44,0.0
Tem/Trm cytotoxic T cells|Regulatory T cells|MFNG|NOTCH2,0.0
Naive B cells|Tem/Trm cytotoxic T cells|HLA-B|CD8B,0.0
Tem/Temra cytotoxic T cells|Regulatory T cells|MIF|TNFRSF14,0.0
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-DRA|LAG3,0.0
Regulatory T cells|Tem/Temra cytotoxic T cells|CALM1|PTPRA,0.0
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-G|KLRC1,0.0
Tem/Trm cytotoxic T cells|Regulatory T cells|HLA-DQA1|LAG3,0.0
